subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_0,0,0,0,3253,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.24248881151190826,0.309079709462546,0.24147859284161585,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.22117293287776513,-0.04802006729713594,-1.1543231132075344,-0.10247165530661377,-0.04743503034547846
order_1,1,1,1,3091,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.2593384786406066,0.31433808004167074,0.2427787366034524,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.23133531514326464,-0.07263528570607583,-1.1497471958789391,-0.11001127330795438,0.036259495069146115
order_2,2,2,2,2944,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.25555617870438024,0.31338639159643733,0.24564027722093476,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.23310551152720924,-0.007363495677527682,-1.1318402991479475,-0.06731733327934086,-0.1047173014807708
order_3,3,3,3,2848,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.25989911546545236,0.3145630633660132,0.24597556963685616,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.23241118445202652,0.018220430258825145,-1.1303115482979451,-0.0705447839455472,-0.08285146274382807
order_4,4,4,4,2740,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.2994174475565035,0.32686880422080766,0.2552675736851225,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.2070067351528764,0.005824983726952184,-1.099444963670052,-0.027990657373399654,-0.0628553158083121
order_5,5,5,5,2617,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3196260639181675,0.33398227834045296,0.25891614640056787,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.1937470793295384,0.0026337220060352433,-1.0677914732854235,-0.08149701454415899,-0.07368798885925935
order_6,6,6,6,2511,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3043407972299557,0.32936195063664525,0.2565623371911848,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.18595265915709586,0.013340138293420012,-1.0739111448832588,-0.07237709018308679,-0.11998918213997448
order_7,7,7,7,2405,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.2905576006287885,0.32437182597104086,0.25509622734649146,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.18427901464017538,0.019056383091308676,-1.096134922094908,-0.022247253356393066,-0.11401108563405694
order_8,8,8,8,2308,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.28786114863462275,0.3234327295313889,0.25271976803052904,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.17115030309991963,0.018735047033460808,-1.1031580843166038,0.0052554675197514925,-0.11186828977862873
order_9,9,9,9,2245,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3148872800836326,0.3319357014835897,0.25997970103125567,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.16442038109114354,-0.009237468102400568,-1.0833166028925487,-0.015263124808779253,-0.06363430399771106
order_10,10,10,10,2111,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.3474236596415528,0.343412275766,0.2677685029266369,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.14925167179114146,0.004375669448817146,-1.0356955766382077,-0.03129021380951237,-0.10551267351164649
order_11,11,11,11,2031,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.29346345601255575,0.32503438125033546,0.2546946934277617,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.15533023307760874,-0.002593418022763122,-1.0986437027720222,-0.031036713266222912,-0.07349520642688802
order_12,12,12,12,1950,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.32802785280703206,0.3373284885166062,0.2631818123501891,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.13369971806241038,-0.022705233478689277,-1.0599838597761295,0.05083196299064198,-0.13747400998116796
order_13,13,13,13,1886,truncated_gaussian,-1.291774115036601,1.3071011833238282,1,2,0.35526190600263297,0.34821894151264654,0.2714645366091077,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.12929630028303674,-0.026312295828975332,-0.9995916834122558,0.023568435387925878,-0.23041318038312641
