subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_0,0,0,0,16445,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9648752115190917,0.6375163064220517,0.2626504764330062,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-1.9702155831850752,0.1547835251356095,-0.19757131915564713,-0.6590926428497086,0.3782352129629181
order_1,1,1,1,14392,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9788726559415588,0.8381601455092405,0.4766573204373486,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-3.0460636861292834,0.02592722691140239,0.20271367245059965,-0.5920659853907323,0.3546728376813717
order_2,2,2,2,13410,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9877010766776102,0.920819127617556,0.5608110462929936,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-3.362615914472969,0.3519918872756777,0.40911329537200386,-0.9629518524048426,0.5661379179841209
order_3,3,3,3,12798,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9893580341949572,0.8609525180831312,0.5324440625241154,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-2.9712891017144774,-0.12519997559851154,0.32911074804334856,-1.0633581470307631,0.8054302173630047
order_4,4,4,4,12294,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.971157818804953,1.5968473997961024,1.3720381090840286,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-3.305912910411941,-1.2669568166323923,0.42078224858754165,-0.4654514557362984,0.5150199053274164
order_5,5,5,5,11780,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9280524851718803,19.136868029272577,18.915552007045797,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-13.089970082799809,-14.34644717734452,1.3685881165546823,0.028277312686882463,0.173763790356331
order_6,6,6,6,11285,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,0.9837833445502672,27.139618465516723,27.00270821143487,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-21.9442833460386,-12.946169076047902,1.6795161741155389,-0.2914581581033051,0.3930616152178129
order_7,7,7,7,10798,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.2307076257128924,29.5483875043839,29.418782607113933,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-24.44019520976149,-12.242497614298781,1.7484941215477046,-0.028008990289179088,0.28530839963809385
order_8,8,8,8,10204,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.4299578842427414,1.9839791625365073,1.6205236181050566,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-5.203058376577904,2.682857493352909,0.90998835641377,-0.32244208351121556,-0.0776455190210469
order_9,9,9,9,9598,truncated_gaussian,-3.699780994474596,2.5708398149375107,1,2,1.444089786905022,1.1220851414837894,0.9784145341444768,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-2.6507709314585806,1.1286828811776664,0.6529107024788683,-0.8043094722217587,0.17852248821670752
