subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_0,0,0,0,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.755518108818871,0.5308503990145801,0.43357399628500237,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.7160655524798326,0.19462980636378607,-0.486250410577179,-0.2295932010169838,0.24304406481556523
order_1,1,1,1,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7544766848117064,0.5312113763322357,0.4375310798629105,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.7597142523984031,0.2293303423267669,-0.5050887961829156,-0.15946530572508608,0.20002263960959252
order_2,2,2,2,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7553735618806158,0.5323372799589954,0.4395384784107221,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.7791460508975797,0.2452329755007266,-0.4925892008812195,-0.15743649015503766,0.17842778264625409
order_3,3,3,3,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7197092057440135,0.5082747988791569,0.4085453129766814,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.7360745744326942,0.2913382661824975,-0.5478659700227414,-0.2953436049334761,0.30717243069965006
order_4,4,4,4,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7181197780886506,0.5066641090265284,0.4075792329353773,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.7100381530856459,0.25262328889124475,-0.5770974465841815,-0.14069629976841544,0.147993918074505
order_5,5,5,5,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7208014669073723,0.5082136312118679,0.40884431122699727,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.7020131276264227,0.23422084107988783,-0.6000541940358671,-0.07531981072661136,0.12394729671436397
order_6,6,6,6,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7505274945181283,0.528215434329809,0.42722230583145254,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6865643206118928,0.19262736476662856,-0.6084449328970216,-0.07952556672169739,0.30882543181684435
order_7,7,7,7,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.763289144995668,0.5365399260143052,0.436058816924527,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6725942348270946,0.15529320320658294,-0.5985035468869856,0.01190420721600041,0.22515508836360287
order_8,8,8,8,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7720589835320655,0.5437375065418601,0.4446749163051465,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.6747066902706437,0.12633052982552337,-0.6086764792754098,0.07575099626286855,0.2260080582747128
order_9,9,9,9,11654,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.781670883645829,0.5522016132771818,0.4527032781217497,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.6616108091050774,0.12305790561330869,-0.6296991210061841,0.08889092574377513,0.3385989776076647
